NodeId,KNN,VOSize
41,1,1891
41,2,2218
41,4,3068
41,8,5315
41,16,9718
41,32,20665
41,64,45869
41,128,119391
18467,1,3537
18467,2,4655
18467,4,8475
18467,8,14637
18467,16,25424
18467,32,56764
18467,64,118895
18467,128,234259
6334,1,3333
6334,2,4447
6334,4,6489
6334,8,10775
6334,16,19278
6334,32,43481
6334,64,95409
6334,128,234829
26500,1,2012
26500,2,4011
26500,4,5647
26500,8,12042
26500,16,23928
26500,32,36561
26500,64,67703
26500,128,138707
19169,1,5799
19169,2,7465
19169,4,11344
19169,8,18581
19169,16,31275
19169,32,55950
19169,64,99485
19169,128,197319
15724,1,2636
15724,2,3999
15724,4,6263
15724,8,14480
15724,16,31272
15724,32,62591
15724,64,124139
15724,128,241277
11478,1,2576
11478,2,3062
11478,4,3910
11478,8,5712
11478,16,13245
11478,32,28381
11478,64,59584
11478,128,123329
29358,1,1660
29358,2,4830
29358,4,8773
29358,8,14485
29358,16,21096
29358,32,31260
29358,64,60839
29358,128,115006
26962,1,2623
26962,2,3296
26962,4,6948
26962,8,11349
26962,16,20849
26962,32,38244
26962,64,71396
26962,128,153929
24464,1,2581
24464,2,3091
24464,4,4007
24464,8,8229
24464,16,15405
24464,32,28698
24464,64,58229
24464,128,130432
5705,1,4618
5705,2,5982
5705,4,9608
5705,8,14925
5705,16,27764
5705,32,62643
5705,64,125675
5705,128,206045
28145,1,3532
28145,2,4403
28145,4,5465
28145,8,7275
28145,16,13689
28145,32,24244
28145,64,50658
28145,128,118808
23281,1,1969
23281,2,2375
23281,4,3270
23281,8,6021
23281,16,15460
23281,32,30459
23281,64,78909
23281,128,178847
16827,1,1469
16827,2,2609
16827,4,3466
16827,8,6223
16827,16,13656
16827,32,27267
16827,64,68139
16827,128,135813
9961,1,2637
9961,2,2979
9961,4,3562
9961,8,5691
9961,16,11931
9961,32,28156
9961,64,68162
9961,128,130159
491,1,1378
491,2,1854
491,4,2842
491,8,6034
491,16,10789
491,32,24384
491,64,52053
491,128,120057
2995,1,2268
2995,2,3132
2995,4,5633
2995,8,8532
2995,16,14655
2995,32,27304
2995,64,59142
2995,128,124910
11942,1,824
11942,2,1501
11942,4,2769
11942,8,5515
11942,16,10071
11942,32,24215
11942,64,48387
11942,128,105510
4827,1,2383
4827,2,2715
4827,4,3785
4827,8,5327
4827,16,9056
4827,32,21391
4827,64,49719
4827,128,135702
5436,1,3374
5436,2,3866
5436,4,5239
5436,8,10901
5436,16,28274
5436,32,49727
5436,64,137593
5436,128,272709
32391,1,5325
32391,2,6428
32391,4,11236
32391,8,19619
32391,16,34163
32391,32,72920
32391,64,133098
32391,128,291034
14604,1,1466
14604,2,3158
14604,4,5374
14604,8,8035
14604,16,15642
14604,32,31958
14604,64,59763
14604,128,150076
3902,1,2878
3902,2,4861
3902,4,8701
3902,8,18696
3902,16,38450
3902,32,80172
3902,64,146275
3902,128,264998
153,1,2233
153,2,2705
153,4,7061
153,8,12292
153,16,19685
153,32,38608
153,64,76536
153,128,171048
292,1,2276
292,2,2760
292,4,5666
292,8,9342
292,16,16693
292,32,35169
292,64,78256
292,128,176428
12382,1,3661
12382,2,4326
12382,4,5813
12382,8,11474
12382,16,22056
12382,32,44881
12382,64,78166
12382,128,149832
17421,1,1850
17421,2,2511
17421,4,3857
17421,8,7858
17421,16,17727
17421,32,35350
17421,64,65853
17421,128,133531
18716,1,1869
18716,2,2752
18716,4,4960
18716,8,9816
18716,16,16146
18716,32,30504
